,mean_hr,max_hr,min_hr,std_hr,max_over_min,%crashes,last_obstacle_crash,lin_regression_hr_slope
111,136.57142857142858,142.0,125.0,4.546060565661952,1.0289855072463767,35.294117647058826,0,-0.16955074758108726
112,137.12244897959184,142.0,125.0,4.626160453790777,1.0289855072463767,41.17647058823529,1,-0.0945950516565948
113,137.4375,142.0,125.0,4.744117297893277,1.0289855072463767,47.05882352941176,1,0.016301670576899307
114,137.8125,146.0,125.0,5.059880790791546,1.0579710144927537,52.94117647058824,1,0.4998480045790336
115,138.29166666666666,148.0,125.0,5.5923897123712205,1.0724637681159421,52.94117647058824,0,1.0665819716900429
116,138.73469387755102,148.0,125.0,5.911766199016732,1.0724637681159421,52.94117647058824,1,1.0031132128110076
117,139.28,148.0,125.0,6.187677022823308,1.0422535211267605,50.0,0,0.7371664573958395
118,140.1,150.0,125.0,6.465765418647631,1.056338028169014,50.0,0,0.6471544000349042
119,141.30612244897958,150.0,128.0,5.867296657578106,1.0273972602739727,50.0,0,0.3831746347197634
120,142.85416666666666,150.0,132.0,4.753451526884408,1.0204081632653061,55.55555555555556,1,0.3088552418453278
121,143.53061224489795,150.0,136.0,4.203679146574693,1.0273972602739727,55.55555555555556,0,0.030678300368890715
122,144.25,150.0,138.0,3.7896836447993354,1.0344827586206897,52.94117647058824,0,-0.3601724886435244
123,144.33333333333334,150.0,136.0,3.7943593821048864,1.1029411764705883,47.05882352941176,0,-1.203843264988773
124,143.9591836734694,150.0,136.0,4.183096857559946,1.1029411764705883,47.05882352941176,1,-1.5100247404386782
125,143.85416666666666,150.0,136.0,4.361288036043175,1.0808823529411764,41.17647058823529,0,-1.4015266294038349
126,143.71428571428572,150.0,136.0,4.387482193696061,1.0808823529411764,41.17647058823529,0,-0.9476109164008355
127,143.9591836734694,150.0,136.0,4.271802818451233,1.0735294117647058,35.294117647058826,0,0.2522674674237964
128,144.40816326530611,150.0,136.0,4.066726608234497,1.0735294117647058,35.294117647058826,0,1.260864890927573
129,144.6530612244898,150.0,136.0,4.033975605240253,1.0579710144927537,35.294117647058826,1,1.107395128220005
130,144.82978723404256,150.0,136.0,4.082407372341291,1.042857142857143,31.25,1,0.7757808615047562
131,144.66666666666666,150.0,136.0,4.017691373367447,1.0354609929078014,31.25,0,0.1792803984468094
132,144.45833333333334,150.0,136.0,3.9569939876678757,1.020979020979021,25.0,0,-0.32798904449669947
133,143.9375,150.0,136.0,4.044466932236861,1.0503597122302157,25.0,0,-0.6598708275882545
134,143.29166666666666,150.0,136.0,4.181816429792473,1.0735294117647058,25.0,0,-0.9623622296352673
